Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,200,26.10,28.09,0.00,0.52,Rolling,STT Not Paid,icicidirect,29-Jul-2013,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,200,29.72,28.09,0.00,0.59,Rolling,STT Not Paid,icicidirect,27-Aug-2013,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,200,27.70,28.09,0.00,0.55,Rolling,STT Not Paid,icicidirect,27-Sep-2013,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,200,29.81,28.09,0.00,0.60,Rolling,STT Not Paid,icicidirect,28-Oct-2013,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,200,28.72,28.09,0.00,0.57,Rolling,STT Not Paid,icicidirect,27-Nov-2013,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,2000,22.86,156.36,0.09,2.29,Rolling,STT Not Paid,icicidirect,28-Jul-2015,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,1,38.67,0.34,0.00,0.00,Rolling,STT Not Paid,icicidirect,05-Mar-2021,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,117,128.04,44.28,0.47,2.28,TT,STT Not Paid,icicidirect,10-Feb-2026,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,121,123.69,44.24,0.47,2.28,TT,STT Not Paid,icicidirect,10-Apr-2026,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,121,123.74,44.25,0.47,2.28,TT,STT Not Paid,icicidirect,11-May-2026,NSE,
GOLDEX,NIPPON INDIA ETF GOLD BEES,INF204KB17I5,Buy,123,121.63,51.28,0.47,2.27,TT,STT Not Paid,icicidirect,10-Jun-2026,NSE,
HDFBAN,HDFC BANK LIMITED,INE040A01034,Buy,67,1499.40,296.94,3.21,15.00,TT,STT Paid,icicidirect,12-Nov-2023,NSE,
HDFBAN,HDFC BANK LIMITED,INE040A01034,Buy,70,1428.95,295.65,3.20,15.00,TT,STT Paid,icicidirect,25-Jan-2024,NSE,
HDFBAN,HDFC BANK LIMITED,INE040A01034,Buy,137,0.00,0.00,0.00,0.00,TT,STT Not Paid,icicidirect,29-Aug-2025,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,99,93.67,27.41,0.29,0.00,TT,STT Not Paid,icicidirect,06-Feb-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,114,93.70,31.57,0.34,2.99,TT,STT Not Paid,icicidirect,06-Feb-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,100,89.95,26.59,0.29,0.00,TT,STT Not Paid,icicidirect,06-Mar-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,122,89.96,32.44,0.35,3.00,TT,STT Not Paid,icicidirect,06-Mar-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,1500,86.69,384.35,4.12,20.00,TT,STT Not Paid,icicidirect,09-Mar-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,2400,84.72,600.98,6.45,31.00,TT,STT Not Paid,icicidirect,20-Mar-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,241,82.66,58.88,0.63,2.99,TT,STT Not Paid,icicidirect,06-Apr-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,15,87.28,3.87,0.04,0.00,TT,STT Not Paid,icicidirect,06-May-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,140,87.17,36.07,0.39,2.99,TT,STT Not Paid,icicidirect,06-May-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,7,87.28,1.81,0.02,0.00,TT,STT Not Paid,icicidirect,06-May-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,67,87.18,17.26,0.19,0.00,TT,STT Not Paid,icicidirect,06-May-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,19,83.31,5.43,0.05,0.00,TT,STT Not Paid,icicidirect,08-Jun-2026,NSE,
HDFSEN,HDFC BSE SENSEX  ETF,INF179KC1HX2,Buy,221,83.32,63.12,0.58,3.00,TT,STT Not Paid,icicidirect,08-Jun-2026,NSE,
HDFSIL,HDFC SILVER ETF,INF179KC1DI2,Buy,1000,73.70,217.80,2.14,11.06,TT,STT Paid,icicidirect,19-Apr-2023,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Buy,102,295.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,05-Apr-2004,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Buy,740,59.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,05-Apr-2004,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Buy,250,0.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,02-Oct-2006,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Buy,510,190.00,0.00,0.00,0.00,Rolling,STT Paid,icicidirect,20-Feb-2008,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,100,1045.50,864.90,3.76,10.46,Rolling,STT Paid,icicidirect,09-Sep-2010,BSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,2,1045.50,17.30,0.08,0.21,Rolling,STT Paid,icicidirect,09-Sep-2010,BSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Buy,15,189.87,23.56,0.10,0.28,Rolling,STT Paid,icicidirect,09-Feb-2011,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Buy,185,189.86,290.56,1.23,3.51,Rolling,STT Paid,icicidirect,09-Feb-2011,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Buy,170,0.00,0.00,0.00,0.00,Rolling,STT Not Paid,icicidirect,29-Jun-2017,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,1000,352.95,0.00,0.00,0.00,Rolling,STT Paid,Added from reco,31-Jan-2018,BSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,100,1146.70,338.98,3.92,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,9,1146.75,30.51,0.35,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,1,1146.60,3.39,0.04,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,2,1146.70,6.78,0.08,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
ICIBAN,ICICI BANK LIMITED,INE090A01021,Sell,63,1146.70,213.56,2.47,0.00,TT,STT Paid,icicidirect,20-Jun-2024,NSE,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,575,59.50,101.12,1.06,0.00,Rolling,STT Paid,icicidirect,14-Jun-2021,NSE,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,1125,59.50,197.84,2.08,15.00,Rolling,STT Paid,icicidirect,14-Jun-2021,NSE,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,1193,54.80,193.23,2.03,15.00,Rolling,STT Paid,icicidirect,30-Jun-2021,NSE,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,631,54.80,102.20,1.07,0.00,Rolling,STT Paid,icicidirect,30-Jun-2021,NSE,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,1900,51.05,286.68,3.01,15.00,Rolling,STT Paid,icicidirect,03-Aug-2021,NSE,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,1000,48.20,142.43,1.35,7.00,Rolling,STT Paid,icicidirect,11-Oct-2021,BSE,
IDFBAN,IDFC FIRST BANK LIMITED,INE092T01019,Buy,1000,49.20,145.30,0.89,7.00,Rolling,STT Paid,icicidirect,13-Oct-2021,NSE,
